s_m; a0; a1; a2; a3; b0; b1; b2; b3
0.2991553; 0.0011234; 0.0108396; 0.0005033; 0.0000384; -5.7156298; 0.2989588; -0.0000181; -0.0000022
0.2982685; 0.0125047; 0.0119258; 0.0006147; 0.0000388; -5.4166912; 0.2980300; -0.0000244; -0.0000026
0.2973427; 0.0250840; 0.0132305; 0.0007267; 0.0000392; -5.1186883; 0.2970482; -0.0000322; -0.0000033
0.2963811; 0.0390804; 0.0147536; 0.0008388; 0.0000400; -4.8216756; 0.2960135; -0.0000417; -0.0000038
0.2953876; 0.0547128; 0.0164957; 0.0009524; 0.0000392; -4.5257075; 0.2949267; -0.0000527; -0.0000052
0.2946492; 0.0722000; 0.0184718; 0.0010647; -0.0003350; -4.2308386; 0.2940694; -0.0000678; 0.0000211
0.2952720; 0.0914015; 0.0196375; 0.0000598; -0.0003338; -3.9368159; 0.2946186; -0.0000045; 0.0000221
0.2975295; 0.1107651; 0.0188990; -0.0009562; -0.0003157; -3.6421797; 0.2969280; 0.0000629; 0.0000148
0.3014592; 0.1283921; 0.0162512; -0.0019539; -0.0003051; -3.3451739; 0.3010202; 0.0001103; 0.0000006
0.3071346; 0.1423844; 0.0116432; -0.0029781; -0.0002062; -3.0440429; 0.3069112; 0.0001162; -0.0000152
0.3146609; 0.1508433; 0.0051927; -0.0037749; -0.0003905; -2.7370307; 0.3146195; 0.0000742; -0.0000444
0.3239240; 0.1518706; -0.0036326; -0.0052420; 0.0008189; -2.4223815; 0.3238988; -0.0000627; -0.0000206
0.3292986; 0.1438149; -0.0118536; -0.0028786; 0.0019036; -2.0985660; 0.3290909; -0.0001287; 0.0000862
0.3248360; 0.1309863; -0.0117382; 0.0027558; 0.0018088; -1.7695176; 0.3246170; 0.0001264; -0.0000022
0.3108420; 0.1238127; -0.0007656; 0.0074899; 0.0024637; -1.4447763; 0.3108156; 0.0001097; -0.0002864
0.2892100; 0.1330007; 0.0200933; 0.0128710; 0.0032921; -1.1341375; 0.2884670; -0.0006484; -0.0010775
0.2640950; 0.1692572; 0.0508215; 0.0189293; 0.0042806; -0.8473964; 0.2590149; -0.0032296; -0.0027372
0.2435927; 0.2432886; 0.0934700; 0.0269313; 0.0021117; -0.5943484; 0.2249646; -0.0096984; -0.0057065
